start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254182.094722,254184.128907,12.8,26,2.034,300.114,0,0,11,2,0,22,34.69,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254184.128907,254185.146056,28.5,29,1.017,83.436,0,0,0,5,1,26,67.19,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254185.146056,254186.163173,26.5,27,1.017,116.737,0,0,1,2,1,24,62.63,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254186.163173,254187.179725,24.6,25,1.017,116.788,0,0,2,1,4,22,60.17,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254187.179725,254188.213453,21.3,22,1.034,183.421,0,0,2,4,0,19,50.02,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254188.213453,254189.213792,30,30,1,50.126,0,0,0,2,0,28,69.53,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254189.213792,254190.214361,21,21,1.001,250.006,0,0,2,3,0,20,47.05,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254190.214361,254191.231611,29.5,30,1.017,50.055,0,0,0,2,2,27,68.83,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254191.231611,254192.248816,27.5,28,1.017,83.53,0,0,0,7,0,21,65.75,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254192.248816,254193.249326,25,25,1.001,149.994,0,0,2,7,1,16,55.45,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254193.249326,254194.249880,30,30,1.001,50.016,0,0,0,1,1,29,69.67,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254194.249880,254195.283722,28.1,29,1.034,66.745,0,0,0,4,0,25,67.13,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254195.283722,254196.300912,30.5,31,1.017,50.139,0,0,0,6,1,22,69.05,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254196.300912,254197.318066,29.5,30,1.017,66.759,0,0,0,1,0,30,69.27,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254197.318066,254198.335193,26.5,27,1.017,116.707,0,0,1,2,1,26,62.64,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254198.335193,254200.336275,23,46,2.001,366.821,0,0,2,11,2,41,46.21,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254200.336275,254201.370823,28,29,1.035,66.73,0,0,0,5,0,26,66.79,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254201.370823,254202.371504,30,30,1.001,50.028,0,0,0,1,0,29,69.77,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254202.371504,254203.372280,30,30,1.001,33.468,0,0,0,0,0,30,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
